 Sirius Chiron 8 Feb 2021 100 exposures
 Wavelength    Intensity
  5265.4600     0.989238
  5265.4800     0.988039
  5265.5000     0.987388
  5265.5200     0.987080
  5265.5400     0.988564
  5265.5600     0.987765
  5265.5800     0.986794
  5265.6000     0.986440
  5265.6200     0.993452
  5265.6400     0.992070
  5265.6600     0.992367
  5265.6800     0.993109
  5265.7000     0.992812
  5265.7200     0.993029
  5265.7400     0.993041
  5265.7600     0.992230
  5265.7800     0.989923
  5265.8000     0.987765
  5265.8200     0.988256
  5265.8400     0.987068
  5265.8600     0.986554
  5265.8800     0.984876
  5265.9000     0.984647
  5265.9200     0.985161
  5265.9400     0.982146
  5265.9600     0.982386
  5265.9800     0.981987
  5266.0000     0.983528
  5266.0200     0.982809
  5266.0400     0.982752
  5266.0600     0.982889
  5266.0800     0.981267
  5266.1000     0.982478
  5266.1200     0.982752
  5266.1400     0.981998
  5266.1600     0.982181
  5266.1800     0.982877
  5266.2000     0.983985
  5266.2200     0.982626
  5266.2400     0.983871
  5266.2600     0.983791
  5266.2800     0.983562
  5266.3000     0.983414
  5266.3200     0.982649
  5266.3400     0.979508
  5266.3600     0.973239
  5266.3800     0.966719
  5266.4000     0.960152
  5266.4200     0.953129
  5266.4400     0.946746
  5266.4600     0.943263
  5266.4800     0.939666
  5266.5000     0.936057
  5266.5200     0.933294
  5266.5400     0.929913
  5266.5600     0.928657
  5266.5800     0.928143
  5266.6000     0.925962
  5266.6200     0.924124
  5266.6400     0.922765
  5266.6600     0.923324
  5266.6800     0.924466
  5266.7000     0.926168
  5266.7200     0.926841
  5266.7400     0.928383
  5266.7600     0.930701
  5266.7800     0.934287
  5266.8000     0.936537
  5266.8200     0.947020
  5266.8400     0.952832
  5266.8600     0.958702
  5266.8800     0.964732
  5266.9000     0.973479
  5266.9200     0.980205
  5266.9400     0.985846
  5266.9600     0.988701
  5266.9800     0.989603
  5267.0000     0.990780
  5267.0200     0.990905
  5267.0400     0.988553
  5267.0600     0.990391
  5267.0800     0.991111
  5267.1000     0.990494
  5267.1200     0.990357
  5267.1400     0.987696
  5267.1600     0.991019
  5267.1800     0.990643
  5267.2000     0.988530
  5267.2200     0.987982
  5267.2400     0.988895
  5267.2600     0.987285
  5267.2800     0.984841
  5267.3000     0.990106
  5267.3200     0.988987
  5267.3400     0.989455
  5267.3600     0.990380
  5267.3800     0.993440
  5267.4000     0.991876
  5267.4200     0.992047
  5267.4400     0.992835
  5267.4600     0.994959
  5267.4800     0.994982
  5267.5000     0.993406
  5267.5200     0.994171
  5267.5400     0.993623
  5267.5600     0.993909
  5267.5800     0.991922
  5267.6000     0.993372
  5267.6200     0.993760
  5267.6400     0.993497
  5267.6600     0.994080
  5267.6800     0.994514
  5267.7000     0.993737
  5267.7200     0.994662
  5267.7400     0.994548
  5267.7600     0.995382
  5267.7800     0.995290
  5267.8000     0.996055
  5267.8200     0.996078
  5267.8400     0.994537
  5267.8600     0.994719
  5267.8800     0.994594
  5267.9000     0.994057
  5267.9200     0.994422
  5267.9400     0.994491
  5267.9600     0.995747
  5267.9800     0.995941
  5268.0000     0.993909
  5268.0200     0.995313
  5268.0400     0.995496
  5268.0600     0.999093
  5268.0800     0.999972
  5268.1000     1.000018
  5268.1200     0.999641
  5268.1400     1.001126
  5268.1600     1.000817
  5268.1800     1.001103
  5268.2000     0.998179
  5268.2200     0.999790
  5268.2400     0.998259
  5268.2600     0.995793
  5268.2800     0.995896
  5268.3000     0.994365
  5268.3200     0.993223
  5268.3400     0.992104
  5268.3600     0.991442
  5268.3800     0.990528
  5268.4000     0.987525
  5268.4200     0.985115
  5268.4400     0.984465
  5268.4600     0.982832
  5268.4800     0.980285
  5268.5000     0.979851
  5268.5200     0.978207
  5268.5400     0.979874
  5268.5600     0.978092
  5268.5800     0.979006
  5268.6000     0.978035
  5268.6200     0.977019
  5268.6400     0.978561
  5268.6600     0.978846
  5268.6800     0.980000
  5268.7000     0.979554
  5268.7200     0.979280
  5268.7400     0.979977
  5268.7600     0.979280
  5268.7800     0.980205
  5268.8000     0.979771
  5268.8200     0.980605
  5268.8400     0.981735
  5268.8600     0.982112
  5268.8800     0.980822
  5268.9000     0.983996
  5268.9200     0.985127
  5268.9400     0.987308
  5268.9600     0.989443
  5268.9800     0.992561
  5269.0000     0.994422
  5269.0200     0.995850
  5269.0400     0.995050
  5269.0600     0.996478
  5269.0800     0.996729
  5269.1000     0.995233
  5269.1200     0.994377
  5269.1400     0.994137
  5269.1600     0.993863
  5269.1800     0.995050
  5269.2000     0.994365
  5269.2200     0.992458
  5269.2400     0.993132
  5269.2600     0.990722
  5269.2800     0.985846
  5269.3000     0.982409
  5269.3200     0.976014
  5269.3400     0.972954
  5269.3600     0.964674
  5269.3800     0.953792
  5269.4000     0.941481
  5269.4200     0.931101
  5269.4400     0.922982
  5269.4600     0.912932
  5269.4800     0.904996
  5269.5000     0.900759
  5269.5200     0.898601
  5269.5400     0.893782
  5269.5600     0.891852
  5269.5800     0.890128
  5269.6000     0.888495
  5269.6200     0.889054
  5269.6400     0.887627
  5269.6600     0.889728
  5269.6800     0.890642
  5269.7000     0.892651
  5269.7200     0.895792
  5269.7400     0.899914
  5269.7600     0.902826
  5269.7800     0.908719
  5269.8000     0.914840
  5269.8200     0.925106
  5269.8400     0.935623
  5269.8600     0.944884
  5269.8800     0.954625
  5269.9000     0.964172
  5269.9200     0.970430
  5269.9400     0.976300
  5269.9600     0.980879
  5269.9800     0.980719
  5270.0000     0.979657
  5270.0200     0.978526
  5270.0400     0.978013
  5270.0600     0.976357
  5270.0800     0.973479
  5270.1000     0.972839
  5270.1200     0.970419
  5270.1400     0.965851
  5270.1600     0.961214
  5270.1800     0.955219
  5270.2000     0.949327
  5270.2200     0.944176
  5270.2400     0.939780
  5270.2600     0.937553
  5270.2800     0.935486
  5270.3000     0.933739
  5270.3200     0.934219
  5270.3400     0.936057
  5270.3600     0.936423
  5270.3800     0.936354
  5270.4000     0.937679
  5270.4200     0.938912
  5270.4400     0.940693
  5270.4600     0.941013
  5270.4800     0.941835
  5270.5000     0.942155
  5270.5200     0.942977
  5270.5400     0.943583
  5270.5600     0.946426
  5270.5800     0.948584
  5270.6000     0.952638
  5270.6200     0.955973
  5270.6400     0.961854
  5270.6600     0.965634
  5270.6800     0.976482
  5270.7000     0.983049
  5270.7200     0.990243
  5270.7400     0.995724
  5270.7600     0.997186
  5270.7800     1.000829
  5270.8000     0.999961
  5270.8200     1.000452
  5270.8400     0.999641
  5270.8600     0.999093
  5270.8800     0.999458
  5270.9000     0.997848
  5270.9200     0.995850
  5270.9400     0.995759
  5270.9600     0.995245
  5270.9800     0.993440
  5271.0000     0.993555
  5271.0200     0.993783
  5271.0400     0.991568
  5271.0600     0.992378
  5271.0800     0.992687
  5271.1000     0.992139
  5271.1200     0.991282
  5271.1400     0.991031
  5271.1600     0.991236
  5271.1800     0.991522
  5271.2000     0.991682
  5271.2200     0.991613
  5271.2400     0.992173
  5271.2600     0.991396
  5271.2800     0.990643
  5271.3000     0.991488
  5271.3200     0.992139
  5271.3400     0.992013
  5271.3600     0.991396
  5271.3800     0.992321
  5271.4000     0.994354
  5271.4200     0.994696
  5271.4400     0.995210
  5271.4600     0.994742
  5271.4800     0.995930
  5271.5000     0.996615
  5271.5200     0.997140
  5271.5400     0.996718
  5271.5600     0.996170
